Question,Answer
Hello,Hi there! 😊 Welcome to MEIRA! How can I assist you today?
Hey bot!,Hey there! 👋 I’m here to help. What would you like to know?
What is this bot for?,Great question! 🎯 I provide parenting tips CBC guidance school selection advice and more! How can I assist?
Who created you?,I was created by the Meira Africa Education Solutions team 💡 to make parenting easier by providing trusted information at your fingertips!
How do I use this bot?,Super easy! 🚀 Just type in any parenting or education-related question and I’ll do my best to assist.
Can I ask you about CBC?,Absolutely! 📚 I can help with school selection curriculum insights and CBC tips. What would you like to know?
Do you give parenting advice?,Yes! 🏡 From toddler tantrums to teenage challenges I’m here with expert-backed advice. What’s on your mind?
Are you free to use?,Yes! 💰 I’m completely free to use for this testing phase with select parents which ends on the 23rd February 2025. From Monday 24th February 2025 our subscription fees will apply. The subscription fee is Ksh 150 per month. You have the option of paying for the whole year at KSH 1000 and save Ksh800!
Can I trust the information you provide?,Great question! ✅ I only share information from verified sources experts and experienced parents.
Can I talk to a human?,Of course! 🤝 If you need personalized support I can connect you to the Meira team. Just type ‘Talk to a human.’
What topics do you cover?,I cover parenting tips CBC info school selection child development and more! 🌱 Which one are you interested in?
How do I find the best school for my child?,I can help with that! 🏫 Just tell me your child's grade level and what you're looking for in a school.
What’s CBC?,CBC (Competency-Based Curriculum) is Kenya’s new education system focused on skills development! 📖 Need help navigating it?
How can I make parenting easier?,Parenting is a journey! ❤️ I can offer practical tips on discipline communication and child development. Ask me anything!
I’m feeling overwhelmed as a parent.,You’re not alone! 🤗 Parenting is tough but I’m here to support you. Would you like some self-care tips or parenting hacks?
What’s the best way to discipline a child?,Discipline should be about guidance not punishment. ✨ I can share positive discipline strategies. Interested?
How do I set up a good study routine for my child?,Great question! 📚 I can share age-specific study tips that make learning fun and effective!
What age should my child start school?,That depends on many factors! 🎒 In Kenya formal schooling starts at age 4 with PP1 but early childhood programs are available too.
Can you send me reminders for events?,Not yet but we’re working on it! ⏰ Meanwhile you can join our community for updates. Want the link?
Do you have resources for single parents?,Yes I do! 💪 Whether you need emotional support or practical tips I’ve got you covered. What do you need help with?
Can I share this bot with my friends?,Of course! 🤩 The more parents we help the better! Just share this link: [Insert Link]
How do I give feedback?,I’d love to hear from you! 💬 You can type ‘Feedback’ to share your thoughts.
Are there any upcoming parenting events?,Yes! 🎉 We organize webinars and workshops. Want me to send you the latest event details?
How can I join the Meira community?,We’d love to have you! 💙 Just type ‘Join community’ and I’ll send you the details.
Do you have expert-backed advice?,Absolutely! 📖 I share insights from child psychologists educators and experienced parents. What do you need help with?
How do I make the most of this bot?,Just explore! 🌍 Ask me anything about parenting CBC or school selection. I’m here 24/7!
Can I change the bot language?,For now I support English and Swahili! 🌍 Would you like me to switch to Swahili?
Thanks for the help!,You’re very welcome! 💛 Parenting takes a village and I’m happy to be part of yours!
What is CBC?,CBC stands for Competency-Based Curriculum. It's designed to help learners discover and develop areas of their greatest abilities and apply them in the real world. 
How is CBC different from 8-4-4?,CBC focuses on the abilities and interests of a learner and follows the 2-6-6-3 model (Two years of pre-primary six years of primary six years of secondary and three years of higher education). 8-4-4 was academic exam-oriented and focused on acquisition of knowledge not application. 
What should I consider when picking a CBC school?,Consider these factors: Availability of infrastructure for teaching CBC sufficient teachers adequately trained in CBC pedagogy and assessment practices and use of learning resources approved by the Kenya Institute of Curriculum Development. 
Is CBC better than 8-4-4?,CBC has advantages such as helping a learner know their greatest strengths and guiding them into the career path most suitable for them.  
How do I know if a school is CBC-compliant?,CBC schools must meet these criteria: Focus on competencies learning areas instead of subjects competency-based assessment project-based learning integration of life skills and collaboration with parents. 
What subjects are in CBC?,CBC includes key learning areas such as Languages Mathematics Science and Technology and Religious Education. The subjects however vary with each succeeding level. 
What if my child struggles with CBC?,You can support your child by providing an environment conducive for learning that motivates them to develop their abilities and achieve full potential. 
Do all schools follow CBC?,All public schools are required to follow CBC; private schools vary.
How does CBC impact university admission?,University admissions will likely consider a student's skills over rote learning his or her performance in continuous assessments and holistic development. 
Is CBC costly?,CBC costs vary but here’s what to expect: Costs for textbooks and learning materials project supplies extracurricular and co-curricular activities school infrastructure and teacher training.
How can I manage CBC costs?,By using everyday home items to create learning materials buying second-hand books exploring free online CBC resources utilizing public or school libraries for additional resources and joining community groups that share CBC knowledge and resources. 
How are students assessed in CBC?,CBC assessments include projects portfolios and practicals. They are administered in the classroom at the school level and nationally. 
What is the structure of CBC?,CBC consists of Early Years (PP1 PP2 and Grades 1-3) Middle School (Grades 4-9) and Senior School (Grades 10-12).
How do I prepare my child for CBC?,Encourage creativity problem-solving and critical thinking. Focus on identifying and developing their greatest strengths and abilities.  
What resources are needed for CBC learning?,CBC learning requires curricula-aligned textbooks and workbooks creative and open-ended materials digital tools and practical materials.
Are teachers trained for CBC?,Yes teachers undergo specialized training for CBC. The training should be continuous for teachers to master teaching methodologies and development of important documents such as schemes of work lesson plans records of work covered and portfolios.  
Can CBC students transition internationally?,Some international schools recognize CBC; check specific requirements.
Does CBC support special needs education?,Yes. Learners with special needs undergo a functional assessment to determine their placement and the intervention measures most suitable for their needs and abilities. The placements comprise special school special unit home and hospital-based programme or regular school with support.  
What extracurricular activities does CBC promote?,CBC includes a variety of extracurricular activities like sports drama music dance debate and clubs. 
What is a learning area in CBC?,A learning area is a subject category in CBC.
How many subjects are in CBC?,CBC has core subjects and optional learning areas. Pre-primary has five subjects Lower Primary has nine subjects Upper Primary has 10 subjects and one optional language Lower Secondary has 12 subjects and a maximum of two optional subjects. 
What role do parents play in CBC?,Parents role includes facilitating home-based learning activities fostering values reinforcing learning concepts from school and collaborating with teachers in educating their child. 
What does formative assessment mean in CBC?,It refers to continuous evaluation of a student's learning progress and providing immediate feedback in order to identify areas of improvement or adjustments in teaching methods.
How is CBC implemented in secondary schools?,CBC is implemented through development of a student's practical skills creativity and critical thinking using learner-centred approaches and diverse assessment methods. 
What career pathways does CBC offer?,CBC offers three pathways: 1. Arts and Sports Science 2. Social Sciences 3. Science Technology Engineering and Mathematics (STEM).
Is CBC practical or theoretical?,CBC emphasizes practical hands-on learning. It focuses on equipping students with skills to solve real problems and not just acquiring knowledge.  
Does CBC prepare students for employment?,CBC fosters skills relevant to the real-world job market and entrepreneurship. 
What happens after completing CBC?,Students transition into higher education or vocational training.
How does CBC integrate ICT?,ICT is embedded in all learning areas for digital literacy.
What languages are taught in CBC?,CBC includes English Kiswahili Kenya Sign Language indigenous languages and foreign languages such as German French Mandarin and Arabic.
Is homework required in CBC?,CBC encourages home-based projects rather than traditional homework.
How are teachers evaluated in CBC?,Teachers are assessed based on their ability to effectively assess and monitor a student's progress in achieving specific competencies.
Does CBC encourage rote learning?,No CBC discourages memorization and focuses on understanding and application.
Can students switch from CBC to other curriculums?,It depends on the school’s transfer policies.
How does CBC handle gifted students?,CBC provides advanced and individualized learning activities for gifted students. 
